#Time	#Ge	#Inet	#Vm	#Act	#Spike	#Gk	#ISI	#AvgISI	#VmDend	#NMDA	#Gnmda	#GABAB	#GgabaB	#Gvgcc	#VGCCm	#VGCCh	#VGCCJcaPSD	#VGCCJcaCyt	#Gak	#AKm	#AKh	#VmS	#PreSpike	#Ds	#Ps	#Wt	#NMDA_Mg	#NMDA_Nopen	#NMDA_Jca	#NMDA_G	#NMDA_Nt0	#NMDA_Nt1	#NMDA_Nt2	#GluN2B	#Cyt_Ca	#PSD_Ca	#Cyt_CaMact	#PSD_CaMact	#Cyt_CaMKIIact	#Cyt_CaMKII	#Cyt_CaMKIIP	#PSD_CaMKIIact	#PSD_CaMKII	#PSD_CaMKIIP	#PSD_CaMKIIn2b	#PSD_N2B_CaMKII	#PSD_N2B_CaMKIIP	#Cyt_DAPK1act	#Cyt_Ca0CaM_DAPK1	#Cyt_Ca1CaM_DAPK1	#Cyt_Ca0CaM_DAPK1P	#Cyt_Ca1CaM_DAPK1P	#Cyt_DAPK1	#Cyt_DAPK1P	#Cyt_DAPK1_AutoK	#PSD_DAPK1act	#PSD_Ca0CaM_DAPK1	#PSD_Ca1CaM_DAPK1	#PSD_Ca0CaM_DAPK1P	#PSD_Ca1CaM_DAPK1P	#PSD_DAPK1	#PSD_DAPK1P	#PSD_DAPK1_AutoK	#PSD_DAPK1n2b	#PSD_N2B_Ca0CaM_DAPK1	#PSD_N2B_Ca1CaM_DAPK1	#PSD_N2B_Ca0CaM_DAPK1P	#PSD_N2B_Ca1CaM_DAPK1P	#PSD_N2B_DAPK1	#PSD_N2B_DAPK1P	#Cyt_CaNact	#PSD_CaNact	#Cyt_AC1act	#Cyt_cAMP	#Cyt_PKAact	#PSD_AC1act	#PSD_cAMP	#PSD_PKAact	#Cyt_I1P	#Cyt_PP1act	#PSD_I1P	#PSD_PP1act	#Int_AMPAR	#Mbr_AMPAR	#PSD_AMPAR	#Trp_AMPAR
0	0.120015	0.0655288	0.42177	0	0	0	-1	-1	0.421769	1.12	0	0	0	0	1.92066e-13	1	0	0	0	0.242615	0.923212	-65	0	0.000329944	0.00035993	1	0.040583	0	0	0	0.997385	0.00260204	1.30899e-05	23.9404	0.0499991	0.0500001	2.45284e-05	2.77996e-05	0.305772	19.26	0	1.51847	19.2999	0	1.65811	0.00101566	0	0.0741967	0.0014611	2.24361e-05	0.595804	0.029591	0.0969471	19.2699	0.00447038	0.082093	0.00107135	1.6479e-05	0.595902	0.029591	0.0984166	19.2602	0.0178629	0.00735551	0.00661515	8.58958e-05	1.59886e-06	2.10608e-07	0.000650578	1.93862e-07	0.000801767	0.000801852	0.000149509	0.00347912	0.0409093	0.00014959	0.00348378	0.0409093	0.309789	0.0313663	0.309695	0.188282	6.00442	0.0399673	0.447851	3.3735
0.01	0.122529	-0.173333	0.796667	0	0	0.0090798	1	-2	0.54183	11.7221	0	0.0173284	0	0.00252915	0.347589	0.915636	54.4081	31.6427	0	0.483097	0.415614	-3	0	0.00362304	0.00395132	1	0.663967	0	0	0	0.976062	0.0238686	6.89231e-05	23.4013	0.0500123	0.0500058	1.23408e-05	1.24695e-05	0.304764	19.2602	0	1.52275	19.2988	0	1.70253	0.00104286	0	0.0743155	0.00144777	2.25987e-05	0.595839	0.0296011	0.0971238	19.2693	0.00447025	0.0823141	0.000653972	1.06332e-05	0.595922	0.0296013	0.0985893	19.2617	0.0178624	0.00787266	0.00711953	9.33942e-05	1.70897e-06	2.12589e-07	0.00065543	1.94317e-07	0.000803336	0.000803394	0.000149699	0.0034795	0.0389695	0.000149822	0.00348468	0.0389695	0.309757	0.0313364	0.309701	0.188132	6.00446	0.0400592	0.448261	3.37255
0.02	0.120035	0.0149478	0.554572	0	0	0.00798689	11	-2	0.547476	21.3105	0	0.0576223	0	3.48877e-05	0.0134419	0.940601	11.5464	6.71517	0	0.483322	0.187633	-46.1537	0	0.0339572	0.0370308	1	0.119781	0	0	0	0.182564	0.804527	0.0129091	22.8862	0.205257	0.159633	0.00584176	0.0051338	0.339306	19.2112	0	1.55591	19.2662	0	1.74282	0.00106809	0	0.0772802	0.00501829	0.00505125	0.590609	0.0339249	0.0856659	19.2694	0.00447054	0.084679	0.00203912	0.00231969	0.592595	0.0322049	0.0909822	19.2634	0.0178627	0.0108408	0.00775378	0.00158391	1.83872e-06	5.58631e-07	0.00062421	2.51197e-07	0.00647805	0.0048474	0.00402089	0.00366332	0.0375655	0.00242491	0.00366166	0.0375656	0.309786	0.0313152	0.309761	0.188013	6.00451	0.0401511	0.448669	3.3716
0.03	0.154678	-0.0342387	0.518477	0.347222	0	0.0155327	5	16	0.452023	29.982	0	0.11142	0	0.00663832	0.0746611	0.912978	2129.16	1238.28	0	0.483322	0.0852386	-44.7284	0	0.109407	0.119315	1	0.129416	0.121054	65003.6	0.156623	0.210569	0.673185	0.116246	22.3643	0.935401	4.07992	0.0730013	0.397443	0.347745	19.1959	0	1.6239	19.192	0	1.78177	0.00109232	0	0.0779979	0.00968685	0.00310001	0.587794	0.0362307	0.0824758	19.2693	0.00447076	0.0897384	0.00256853	0.00229812	0.585388	0.0384984	0.0753045	19.2646	0.0178615	0.0159165	0.00812076	0.00383425	2.34696e-06	1.09627e-06	0.000566008	4.31648e-07	0.00936109	0.0176138	0.00526939	0.00401591	0.0365494	0.00795618	0.00402677	0.0365495	0.309851	0.0312987	0.309828	0.187915	6.00455	0.040243	0.449077	3.37065
0.04	0.147251	0.948104	0.97	0.351617	1	0.0226586	0	15.8	0.819357	37.8244	0	0.172051	0	4.83253e-06	0.120294	0.884776	0.75986	0.44192	0	0.483322	0.0392494	-21.9276	0	0.351595	0.383398	1	0.379308	0.0902802	83172.3	0.342522	0.137248	0.682257	0.180494	20.9136	0.641086	5.03225	0.13739	0.890512	0.468114	19.0294	2.2917e-17	2.18625	18.4659	5.28399e-15	1.87078	0.00114747	1.48873e-14	0.0841211	0.0205612	0.0123713	0.583224	0.0395592	0.0543601	19.2693	0.00447175	0.109766	0.0107433	0.0166861	0.565138	0.0555681	0.0124559	19.2645	0.0178558	0.0519731	0.0138594	0.0168152	5.8462e-06	6.40969e-06	0.000189398	3.05575e-06	0.0442165	0.173934	0.0169572	0.00546017	0.035814	0.0698894	0.00567805	0.035814	0.309676	0.0312875	0.309182	0.187877	6.0046	0.0403348	0.449483	3.36969
0.05	0.13263	0.0195832	0.538379	0.351617	0	0.0200872	10	15.8	0.533104	44.9169	0	0.234908	0	0.000106435	0.0195625	0.893383	36.8765	21.4467	0	0.483322	0.0185939	-48.3167	0	0.577003	0.629035	1	0.106347	0.0915931	43313.6	0.097419	0.0935448	0.777916	0.128539	18.2098	0.653469	2.84724	0.150425	0.443609	0.868293	18.4844	4.98318e-14	2.97001	17.4667	3.53158e-12	2.06502	0.00127017	5.07657e-12	0.091788	0.0421414	0.0270874	0.572917	0.0475358	0.0141982	19.2671	0.00447376	0.122281	0.0175393	0.0153969	0.549452	0.0679339	0.00226233	19.2584	0.0178371	0.0815301	0.0355256	0.0289029	2.08481e-05	1.99544e-05	0.00027651	1.37907e-05	0.189778	0.40359	0.055698	0.010506	0.0352817	0.164846	0.0109745	0.0352818	0.308068	0.0313031	0.306771	0.188088	6.00464	0.0404266	0.449888	3.36874
0.06	0.162516	-0.051358	0.552716	0.350729	0	0.0262685	4	15.84	0.459115	51.3313	0	0.296905	0	0.0194165	0.110737	0.859515	5512.55	3205.99	0	0.483322	0.00931675	-39.5926	0	0.797346	0.86904	1	0.169705	0.0593042	37610.4	0.100666	0.0672066	0.764774	0.168019	15.4014	1.62535	3.06574	0.282106	0.678913	1.05128	18.2214	5.57459e-13	3.3981	16.9717	2.64242e-11	2.27993	0.00140726	3.19812e-11	0.0902978	0.0577008	0.0196353	0.565878	0.0528652	0.00838697	19.2609	0.00447566	0.135281	0.0152662	0.0124091	0.536325	0.0784163	0.00127581	19.2488	0.0178097	0.103454	0.0408133	0.0370287	3.70942e-05	3.63063e-05	0.00037342	2.87161e-05	0.296476	0.552385	0.0715339	0.0185826	0.0348966	0.223605	0.0192329	0.0348966	0.304982	0.0313865	0.303679	0.188674	6.00469	0.0405185	0.450292	3.36779
0.07	0.128014	0.0102902	0.576731	0.350729	0	0.0234342	14	15.84	0.56278	57.1323	0	0.356057	0	1.08565e-06	0.00453914	0.901037	0.337607	0.196346	0	0.483322	0.00515004	-43.3665	1	0.911986	0.993637	1	0.13923	0.0717871	40350.8	0.0998937	0.0667609	0.838121	0.0951179	12.8498	0.414459	2.47984	0.0355619	0.147592	1.2076	17.9883	1.92814e-12	3.52272	16.9039	7.51887e-11	2.47979	0.00153485	8.5227e-11	0.0880591	0.0698042	0.0125115	0.560321	0.0570215	0.00579074	19.2511	0.0044772	0.148445	0.0211786	0.00901454	0.533095	0.0811208	0.00188313	19.2368	0.0177778	0.115663	0.0696008	0.0334518	5.98545e-05	5.24623e-05	0.000929082	4.53071e-05	0.389166	0.556911	0.0848025	0.028685	0.0346179	0.249724	0.0293972	0.0346178	0.300838	0.0315488	0.300116	0.189656	6.00473	0.0406104	0.450695	3.36684
0.08	0.133378	-0.0228258	0.495652	0.341418	0	0.029109	6	16.272	0.435068	62.3786	0	0.411174	0	0.00287409	0.0568292	0.87304	992.394	577.157	0	0.483322	0.00327861	-48.1523	0	1.10577	1.20449	1	0.10732	0.0517732	24633.3	0.0555749	0.0534566	0.815195	0.131349	10.7857	0.773743	1.90627	0.167407	0.350283	1.3367	17.7889	5.22208e-12	3.78914	16.6577	1.71753e-10	2.64275	0.00164	1.95573e-10	0.085827	0.0631797	0.0160598	0.554005	0.0622603	0.00443412	19.239	0.00447811	0.161881	0.0183358	0.0115025	0.524168	0.0889196	0.00124668	19.224	0.0177446	0.130289	0.0623018	0.0459903	7.32763e-05	7.04602e-05	0.00078016	6.08536e-05	0.48385	0.680462	0.0959186	0.0394839	0.0344161	0.287532	0.040309	0.034416	0.296508	0.0317807	0.296149	0.190975	6.00478	0.0407023	0.451098	3.36589
0.09	0.127544	0.0108507	0.587805	0.341418	0	0.0261069	16	16.272	0.565999	67.1233	0	0.46163	0	1.87309e-07	0.00273305	0.910417	0.0567724	0.0330178	0	0.483322	0.00243809	-42.2679	0	1.19844	1.30496	1	0.147596	0.0342929	19999.1	0.050625	0.0621286	0.861065	0.0768065	9.03199	0.313883	1.35963	0.022195	0.0761503	1.41392	17.6579	8.79113e-12	3.81891	16.7302	2.66254e-10	2.78246	0.00172932	3.00917e-10	0.083697	0.0706076	0.00911213	0.55012	0.0656493	0.00431546	19.2242	0.00447837	0.174252	0.024927	0.0088152	0.523788	0.0902469	0.00206261	19.2094	0.0177098	0.138734	0.0906219	0.0369814	9.54363e-05	8.46541e-05	0.00155785	7.67741e-05	0.542517	0.670432	0.101894	0.0514439	0.0342699	0.299388	0.0522971	0.0342696	0.291727	0.032075	0.291931	0.192659	6.00482	0.0407943	0.451499	3.36494
